Name	Key	Frames	X	Y	Size
{1f1f2-1f1ec}	[176]	1	0.75	0.03125	0.015625
{1f1f2-1f1ed}	[177]	1	0.765625	0.03125	0.015625
{1f1f2-1f1f0}	[178]	1	0.78125	0.03125	0.015625
{1f1f2-1f1f1}	[179]	1	0.796875	0.03125	0.015625
{1f1f2-1f1f2}	[180]	1	0.8125	0.03125	0.015625
{1f1f2-1f1f3}	[181]	1	0.828125	0.03125	0.015625
{1f1f2-1f1f4}	[182]	1	0.84375	0.03125	0.015625
{1f1f2-1f1f5}	[183]	1	0.859375	0.03125	0.015625
{1f1f2-1f1f6}	[184]	1	0.875	0.03125	0.015625
{1f1f2-1f1f7}	[185]	1	0.890625	0.03125	0.015625
{1f1f2-1f1f8}	[186]	1	0.90625	0.03125	0.015625
{1f1f2-1f1f9}	[187]	1	0.921875	0.03125	0.015625
{1f1f2-1f1fa}	[188]	1	0.9375	0.03125	0.015625
{1f1f2-1f1fb}	[189]	1	0.953125	0.03125	0.015625
{1f1f2-1f1fc}	[190]	1	0.96875	0.03125	0.015625
{1f1f2-1f1fd}	[191]	1	0.984375	0.03125	0.015625
{1f1f2-1f1fe}	[192]	1	0	0.046875	0.015625
{1f1f2-1f1ff}	[193]	1	0.015625	0.046875	0.015625
{1f1f2}	[194]	1	0.03125	0.046875	0.015625
{1f1f3-1f1e6}	[195]	1	0.046875	0.046875	0.015625
{1f1f3-1f1e8}	[196]	1	0.0625	0.046875	0.015625
{1f1f3-1f1ea}	[197]	1	0.078125	0.046875	0.015625
{1f1f3-1f1eb}	[198]	1	0.09375	0.046875	0.015625
{1f1f3-1f1ec}	[199]	1	0.109375	0.046875	0.015625
{1f1f3-1f1ee}	[200]	1	0.125	0.046875	0.015625
{1f1f3-1f1f1}	[201]	1	0.140625	0.046875	0.015625
{1f1f3-1f1f4}	[202]	1	0.15625	0.046875	0.015625
{1f1f3-1f1f5}	[203]	1	0.171875	0.046875	0.015625
{1f1f3-1f1f7}	[204]	1	0.1875	0.046875	0.015625
{1f1f3-1f1fa}	[205]	1	0.203125	0.046875	0.015625
{1f1f3-1f1ff}	[206]	1	0.21875	0.046875	0.015625
{1f1f3}	[207]	1	0.234375	0.046875	0.015625
{1f1f4-1f1f2}	[208]	1	0.25	0.046875	0.015625
{1f1f4}	[209]	1	0.265625	0.046875	0.015625
{1f1f5-1f1e6}	[210]	1	0.28125	0.046875	0.015625
{1f1f5-1f1ea}	[211]	1	0.296875	0.046875	0.015625
{1f1f5-1f1eb}	[212]	1	0.3125	0.046875	0.015625
